City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Severo-Kurilsk,RU,2022-05-16 May:45:54,50.6789,156.125,277.67,87,64,3.63
183,Iralaya,HN,2022-05-16 May:45:55,15.0,-83.2333,299.64,82,100,1.77
184,Namibe,AO,2022-05-16 May:45:55,-15.1961,12.1522,295.42,61,4,2.81
185,Dana Point,US,2022-05-16 May:46:55,33.467,-117.6981,300.88,74,26,3.13
186,Cairns,AU,2022-05-16 May:44:12,-16.9167,145.7667,300.43,72,0,0.0
187,Hammerfest,NO,2022-05-16 May:46:56,70.6634,23.6821,274.4,80,100,3.6
188,Pisco,PE,2022-05-16 May:46:56,-13.7,-76.2167,293.18,73,0,3.6
189,Sistranda,NO,2022-05-16 May:46:57,63.7256,8.834,275.13,66,14,8.78
190,Portland,US,2022-05-16 May:33:30,45.5234,-122.6762,291.93,56,75,4.12
191,Heishan,CN,2022-05-16 May:46:57,41.6892,122.1128,294.03,29,92,7.28
192,Auki,SB,2022-05-16 May:46:57,-8.7676,160.7034,301.96,72,43,2.2
193,Coihaique,CL,2022-05-16 May:46:58,-45.5752,-72.0662,277.49,93,0,1.54
194,Lavrentiya,RU,2022-05-16 May:46:58,65.5833,-171.0,271.47,68,82,0.88
195,Vilyuysk,RU,2022-05-16 May:46:59,63.7553,121.6247,275.83,87,99,0.25
196,Contai,IN,2022-05-16 May:46:59,21.7786,87.7536,301.71,83,88,8.19
197,Cananea,MX,2022-05-16 May:46:59,30.95,-110.3,301.37,7,21,7.88
198,Zeya,RU,2022-05-16 May:47:00,53.75,127.2667,280.14,43,88,2.78
199,Xingyi,CN,2022-05-16 May:47:00,24.1877,102.817,284.48,94,100,1.06
200,Hofn,IS,2022-05-16 May:47:00,64.2539,-15.2082,281.47,91,10,4.96
201,Ugoofaaru,MV,2022-05-16 May:47:01,5.6667,73.0,301.38,80,98,12.25
202,Tralee,IE,2022-05-16 May:47:01,52.2704,-9.7026,286.21,91,86,9.58
203,Soderhamn,SE,2022-05-16 May:47:01,61.3037,17.0592,277.57,59,25,3.19
204,Valparaiso,CL,2022-05-16 May:47:02,-33.0393,-71.6273,286.19,83,0,2.57
205,Tuy Hoa,VN,2022-05-16 May:47:02,13.0833,109.3,299.39,89,99,1.15
206,Healesville,AU,2022-05-16 May:47:03,-37.65,145.5167,286.78,63,90,2.24
207,Sao Filipe,CV,2022-05-16 May:47:03,14.8961,-24.4956,297.29,76,48,4.89
208,Esperance,AU,2022-05-16 May:47:03,-33.8667,121.9,287.16,67,0,5.99
209,Codrington,AU,2022-05-16 May:47:04,-38.2667,141.9667,283.69,81,100,4.81
210,Isla Vista,US,2022-05-16 May:47:04,34.4133,-119.861,297.93,55,0,4.63
211,Bako,ET,2022-05-16 May:47:05,5.7833,36.5667,291.33,73,64,2.24
212,Dicabisagan,PH,2022-05-16 May:47:05,17.0818,122.4157,301.4,77,98,1.7
213,Nelspruit,ZA,2022-05-16 May:47:05,-25.4745,30.9703,288.31,94,7,0.0
214,Rognan,NO,2022-05-16 May:47:06,67.0953,15.3878,276.51,78,99,1.28
215,Ust-Maya,RU,2022-05-16 May:47:06,60.4167,134.5333,275.5,97,100,1.3
216,Aasiaat,GL,2022-05-16 May:47:07,68.7098,-52.8699,268.25,88,13,3.02
217,Ancud,CL,2022-05-16 May:47:08,-41.8697,-73.8203,281.34,69,42,3.16
218,Bonthe,SL,2022-05-16 May:47:08,7.5264,-12.505,299.48,88,98,1.87
219,Lebu,CL,2022-05-16 May:47:09,-37.6167,-73.65,284.58,71,8,1.38
220,Jacmel,HT,2022-05-16 May:47:09,18.2342,-72.5347,303.06,85,69,4.14
221,Khambhat,IN,2022-05-16 May:47:10,22.3,72.6167,301.91,50,17,3.73
222,Lazaro Cardenas,MX,2022-05-16 May:47:10,17.9583,-102.2,302.03,51,45,4.99
223,Port-Gentil,GA,2022-05-16 May:47:11,-0.7193,8.7815,300.13,89,75,3.09
