City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
202,Victor Harbor,AU,-35.5667,138.6167,54.48,66,59,9.17,broken clouds
203,Luoyang,CN,34.6836,112.4536,73.54,44,87,5.37,overcast clouds
204,Lompoc,US,34.6391,-120.4579,72.79,64,0,14.97,clear sky
205,Bijar,IR,35.8668,47.6051,50.27,35,46,7.23,scattered clouds
206,Batagay-Alyta,RU,67.8006,130.4114,31.73,85,88,2.3,overcast clouds
207,Rabo De Peixe,PT,37.8,-25.5833,64.27,85,20,3.44,few clouds
208,Atambua,ID,-9.1061,124.8925,78.03,68,69,3.89,broken clouds
209,Alamosa,US,37.4695,-105.87,71.58,15,20,25.32,few clouds
210,Mahajanga,MG,-15.7167,46.3167,71.62,83,20,5.75,few clouds
211,Huilong,CN,31.8111,121.655,70.93,77,32,6.49,scattered clouds
212,Puerto Carreno,CO,6.189,-67.4859,80.71,68,46,2.77,scattered clouds
213,Karachi,PK,24.9056,67.0822,84.02,79,40,16.11,smoke
214,Luena,AO,-11.7833,19.9167,57.72,61,0,2.3,clear sky
215,Kasangulu,CD,-4.5911,15.1708,72.23,88,100,3.04,overcast clouds
216,Kieta,PG,-6.2167,155.6333,84.13,69,24,4.83,few clouds
217,Kropotkin,RU,45.4375,40.5756,51.87,80,66,16.11,broken clouds
218,Solnechnyy,RU,50.7214,136.6319,44.96,98,100,2.84,overcast clouds
219,Dikson,RU,73.5069,80.5464,27.43,89,100,6.2,overcast clouds
220,Kyshtovka,RU,56.555,76.6271,45.46,79,74,6.31,broken clouds
221,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
222,Lavrentiya,RU,65.5833,-171.0,36.05,95,32,8.14,scattered clouds
223,Lebu,CL,-37.6167,-73.65,51.13,91,15,7.02,few clouds
224,Douglas,US,41.3,-96.167,65.59,42,100,14.97,overcast clouds
225,Kruisfontein,ZA,-34.0033,24.7314,53.89,85,96,4.07,light rain
226,Ritchie,ZA,-29.038,24.6028,47.41,87,91,19.8,overcast clouds
227,Vila Velha,BR,-20.3297,-40.2925,67.95,77,20,3.44,few clouds
228,Samandag,TR,36.0842,35.9771,55.92,38,0,7.65,clear sky
229,Tabou,CI,4.423,-7.3528,77.85,86,100,8.34,overcast clouds
230,La Romana,DO,18.4273,-68.9728,80.96,83,20,0.0,few clouds
231,Sabzevar,IR,36.2126,57.6819,69.08,26,0,13.8,clear sky
232,Humberto De Campos,BR,-2.5983,-43.4611,75.04,89,54,1.48,broken clouds
233,Upernavik,GL,72.7868,-56.1549,23.2,90,74,9.62,broken clouds
234,Nizhnyaya Poyma,RU,56.1622,97.1933,60.4,54,85,6.04,overcast clouds
235,Dawlatabad,AF,36.4141,64.9053,72.81,24,1,2.93,clear sky
236,Stephenville,US,32.2207,-98.2023,95.79,40,0,20.71,clear sky
237,Morehead,US,37.2711,-87.1764,83.95,57,0,13.8,clear sky
238,Acarau,BR,-2.8856,-40.12,77.86,83,64,5.01,broken clouds
239,Bredasdorp,ZA,-34.5322,20.0403,50.27,82,8,5.7,clear sky
240,Fort Nelson,CA,58.8053,-122.7002,60.39,16,40,3.44,scattered clouds
241,Korla,CN,41.7597,86.1469,73.9,21,32,11.54,scattered clouds
242,Kapchorwa,UG,1.3965,34.4509,56.75,88,90,3.8,overcast clouds
243,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,44,0,21.85,clear sky
244,Methoni,GR,36.8197,21.7049,62.22,50,0,3.18,clear sky
245,Champerico,GT,14.3,-91.9167,82.94,70,100,6.91,overcast clouds
246,Zhezkazgan,KZ,47.8043,67.7144,59.65,36,57,8.61,broken clouds
247,Port-Cartier,CA,50.0334,-66.8654,49.75,76,82,4.38,broken clouds
248,Finschhafen,PG,-6.6024,147.8681,84.49,66,28,7.94,scattered clouds
249,Herat,AF,34.5,62.0,65.97,28,0,5.08,clear sky
250,Alofi,NU,-19.0595,-169.9187,76.89,94,20,8.05,few clouds
251,Beyneu,KZ,45.3167,55.2,58.03,67,90,16.11,overcast clouds
252,Gat,IL,31.61,34.7642,81.39,30,95,5.01,overcast clouds
253,Salalah,OM,17.0151,54.0924,84.29,79,75,5.75,broken clouds
254,Port Hardy,CA,50.6996,-127.4199,57.38,67,20,10.36,few clouds
255,Beder,DK,56.0602,10.2118,51.55,91,100,9.95,moderate rain
256,Istok,XK,42.7808,20.4875,55.38,51,46,3.67,scattered clouds
257,Fairbanks,US,64.8378,-147.7164,72.61,26,0,6.91,clear sky
258,Ati,TD,13.2154,18.3353,87.73,11,11,10.0,few clouds
259,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,2.3,clear sky
260,Palampur,IN,32.1167,76.5333,69.13,29,33,9.1,scattered clouds
261,Lavumisa,SZ,-27.31,31.892,62.47,98,34,3.53,moderate rain
262,Narrabri,AU,-30.3167,149.7833,63.75,58,95,11.12,overcast clouds
263,Ayame,CI,5.6083,-3.1563,74.84,97,100,2.28,overcast clouds
264,Santa Rita Do Passa Quatro,BR,-21.7103,-47.4781,44.6,65,0,2.39,clear sky
265,Mount Gambier,AU,-37.8333,140.7667,51.13,70,9,7.16,clear sky
266,Bedesa,ET,8.9,40.7833,62.33,73,77,5.26,broken clouds
267,College,US,64.8569,-147.8028,72.59,26,0,6.91,clear sky
268,Sun Valley,US,39.5963,-119.776,61.05,17,20,11.5,haze
269,Cassilandia,BR,-19.1133,-51.7342,53.46,56,0,2.55,clear sky
270,Port Lincoln,AU,-34.7333,135.8667,59.34,62,0,16.2,clear sky
271,Hualahuises,MX,24.8847,-99.6733,91.51,29,71,16.02,broken clouds
272,Kalabo,ZM,-14.97,22.6814,61.05,55,4,1.97,clear sky
273,Solano,US,38.2333,-121.9511,86.43,12,0,21.85,clear sky
274,Mankato,US,44.1636,-93.9994,62.69,60,40,18.41,scattered clouds
275,Kismayo,SO,-0.3582,42.5454,79.43,82,95,15.14,overcast clouds
276,Carnot,CF,4.9409,15.8665,68.95,98,99,0.63,overcast clouds
277,Dumas,US,35.8656,-101.9732,71.74,26,0,14.97,clear sky
278,Kimbe,PG,-5.5502,150.1429,87.13,62,8,1.05,clear sky
279,Padang,ID,-0.9492,100.3543,77.05,83,76,2.68,broken clouds
280,Tecoanapa,MX,16.5167,-98.75,83.16,58,87,11.25,overcast clouds
281,Mitu,CO,1.1983,-70.1733,69.96,99,66,1.57,broken clouds
282,Opuwo,NA,-18.0607,13.84,51.04,33,0,3.18,clear sky
283,Taree,AU,-31.9,152.4667,62.11,87,100,1.97,light rain
284,Awbari,LY,26.5921,12.7805,72.72,34,0,17.81,clear sky
285,Genhe,CN,50.7833,121.5167,57.31,44,32,6.38,scattered clouds
286,Kanata,CA,45.3159,-75.8985,77.04,64,100,8.05,overcast clouds
287,Marathon,US,44.9,-89.7668,63.93,40,0,12.66,clear sky
288,Sao Desiderio,BR,-12.3633,-44.9733,65.98,44,73,3.74,broken clouds
289,Souillac,MU,-20.5167,57.5167,73.78,83,40,8.05,scattered clouds
290,Cabo San Lucas,MX,22.8909,-109.9124,82.62,53,0,13.8,clear sky
291,Znamenskoye,RU,57.1281,73.8282,42.1,73,87,5.64,overcast clouds
292,Santa Fe,AR,-31.6333,-60.7,59.02,79,0,3.0,light rain
293,Calvinia,ZA,-31.4707,19.776,41.76,66,2,3.67,clear sky
294,Matagami,CA,49.7502,-77.6328,62.71,94,100,8.05,heavy intensity rain
295,Kouroussa,GN,10.65,-9.8833,79.23,70,83,6.73,broken clouds
296,At-Bashi,KG,41.1702,75.8106,50.09,92,100,2.42,moderate rain
297,Paso De Los Toros,UY,-32.8167,-56.5167,48.42,84,3,7.18,clear sky
298,Jalu,LY,29.0331,21.5482,65.84,35,0,12.71,clear sky
299,Ostrovnoy,RU,68.0531,39.5131,31.14,69,83,4.99,broken clouds
300,Abbeville,FR,50.1,1.8333,56.25,90,13,11.12,few clouds
